Day,Month,Year,tasmax,tasmin,hursmax,hursmin,rss,pr,wss
1,1,2000,15.75,14.33,96.88,94.5,0.69,44.54,15.75
2,1,2000,16.73,13.66,97.62,89.88,1.52,62.77,15.38
3,1,2000,14.89,11.96,93.75,81.37,4.56,4.83,14.5
4,1,2000,14.2,6.89,96.5,72.25,6.04,0.7,8.0
5,1,2000,14.88,4.62,98.75,74.37,7.03,5.22,8.75
6,1,2000,12.45,6.31,98.25,72.25,6.34,11.92,7.88
7,1,2000,13.48,2.06,99.12,64.13,7.71,0.0,2.0
8,1,2000,12.45,1.12,99.5,66.5,7.8,0.0,3.5
9,1,2000,13.64,2.21,98.37,71.38,7.2,0.0,5.13
10,1,2000,15.3,8.25,99.75,80.5,4.66,10.73,7.0
11,1,2000,13.22,4.42,97.5,65.63,7.28,0.03,6.0
12,1,2000,15.51,4.64,97.87,70.5,7.09,1.48,5.0
13,1,2000,14.71,11.45,98.25,92.5,2.56,13.97,10.0
14,1,2000,12.52,5.47,96.63,70.75,7.2,0.57,7.63
15,1,2000,13.25,7.53,94.5,72.62,6.03,2.05,6.63
16,1,2000,13.17,6.94,97.12,85.75,3.26,5.87,8.0
17,1,2000,14.59,8.8,96.13,80.75,6.52,3.19,8.5
18,1,2000,14.54,6.09,98.12,64.0,7.92,0.09,4.0
19,1,2000,15.04,2.91,100.0,74.62,6.93,6.85,6.13
20,1,2000,15.51,5.34,100.0,65.25,8.87,1.09,1.88
21,1,2000,15.08,2.42,100.0,73.25,7.79,0.07,4.5
22,1,2000,16.2,8.11,99.37,78.37,6.11,0.85,10.0
23,1,2000,15.32,14.04,97.37,94.62,0.19,38.98,12.38
24,1,2000,14.96,11.62,97.37,70.0,0.97,49.94,12.75
25,1,2000,13.7,9.5,81.0,66.87,7.53,0.89,10.0
26,1,2000,12.67,2.57,96.38,39.37,9.72,0.0,2.63
27,1,2000,12.3,2.03,86.0,50.37,9.03,0.0,3.75
28,1,2000,13.65,0.75,97.5,69.0,5.03,1.71,7.25
29,1,2000,13.92,4.52,95.37,61.62,9.11,0.0,8.63
30,1,2000,14.65,2.1,98.12,68.0,9.8,0.0,8.5
31,1,2000,14.65,2.1,98.12,68.0,9.8,0.0,8.5
1,2,2000,15.33,2.16,98.62,69.5,10.26,0.0,6.5
2,2,2000,15.49,0.76,99.12,68.75,10.35,0.0,4.13
3,2,2000,15.67,0.05,100.0,71.25,10.34,0.01,4.5
4,2,2000,16.56,1.0,100.0,59.0,9.73,0.09,5.13
5,2,2000,17.04,0.84,100.0,52.38,10.89,0.02,5.75
6,2,2000,13.49,6.04,99.75,96.38,1.36,9.23,5.88
7,2,2000,12.91,3.93,96.88,67.25,9.49,0.49,6.63
8,2,2000,11.66,2.22,75.25,46.63,10.97,0.0,9.0
9,2,2000,9.09,2.63,80.62,64.13,3.83,0.09,13.38
10,2,2000,11.38,-1.19,90.87,42.75,11.59,0.0,8.0
11,2,2000,12.44,-3.19,99.62,51.12,11.64,0.0,7.25
12,2,2000,11.64,3.07,99.75,88.87,1.43,14.6,9.13
13,2,2000,11.04,7.49,98.87,95.5,0.99,8.5,7.0
14,2,2000,12.15,3.99,99.5,84.38,5.83,4.88,6.5
15,2,2000,14.46,4.71,100.0,69.75,9.05,0.2,5.63
16,2,2000,15.92,1.01,100.0,62.75,10.54,0.15,4.75
17,2,2000,12.08,4.36,99.87,92.25,2.25,1.97,7.13
18,2,2000,14.62,10.11,98.62,93.62,2.3,1.51,7.5
19,2,2000,16.99,10.98,98.25,79.37,6.43,0.74,8.5
20,2,2000,14.57,6.56,94.87,64.63,9.23,2.52,10.38
21,2,2000,13.54,5.28,97.37,59.5,10.08,0.44,5.25
